category,phase,output_name,file_path,source_script,pipeline_version,status,final_or_historical,rows,columns,purpose,thesis_ready,notes
PCM,Phase 6,PCM Feasibility Audit Matrix,data/processed/feasibility/pcm_feasibility_by_cluster.csv,07_feasibility_filter_final.py,Final (K=3),ACTIVE,FINAL,174.0,23.0,Criterion-by-criterion screening audit for 58 PCMs across 3 K=3 clusters,YES,174 rows (58 PCMs x 3 clusters); honest reporting of confirmed vs conditional status
PCM,Phase 6,PCM Feasibility Summary,data/processed/feasibility/pcm_feasibility_summary.csv,07_feasibility_filter_final.py,Final (K=3),ACTIVE,FINAL,3.0,8.0,Cluster-wise feasibility status counts under final K=3 pipeline,YES,"n_confirmed = [0, 0, 0]; 1 conditional (n-Tetracosane C24 in Cluster 0)"
PCM,Phase 6,Historical Feasibility Survivors,data/processed/pcm/feasibility_survivors_assam.csv,07_feasibility_filter.py,Historical (K=4),LOCKED_HISTORICAL,HISTORICAL,100.0,41.0,Screened candidate universe (8 unique PCMs) from historical K=4 run,YES,Preserved survivor universe evaluated independently by Phase 9 physics model
PCM,Phase 7,MCDM Cluster Eligibility Summary,data/processed/pcm/mcdm_cluster_eligibility_summary.csv,08_mcdm_ranking_final.py,Final (K=3),ACTIVE,FINAL,3.0,8.0,Formal governance record documenting why K=3 MCDM ranking was not performed,YES,"Governance status: NOT PERFORMED for Clusters 0, 1, 2 due to n_confirmed=0"
PCM,Phase 7,MCDM Rankings by Cluster (Governance),data/processed/pcm/mcdm_rankings_by_cluster.csv,08_mcdm_ranking_final.py,Final (K=3),ACTIVE,FINAL,1.0,16.0,Explicit unranked record for conditional candidate n-Tetracosane C24,YES,Status: NOT PERFORMED (ranking_status) due to unresolved evidence
PCM,Phase 7,Historical MCDM Full Scores,data/processed/pcm/mcdm_full_scores_assam.csv,08_mcdm_ranking.py,Historical (K=4),LOCKED_HISTORICAL,HISTORICAL,28.0,70.0,"Historical MCDM scores (TOPSIS, GRA, PROMETHEE, VIKOR, Borda) across K=4",YES,Historical pre-audit artifact; consensus ranking used in Phase 10 validation
PCM,Phase 7,Historical MCDM Top-K Summary,data/processed/pcm/mcdm_topk_assam.csv,08_mcdm_ranking.py,Historical (K=4),LOCKED_HISTORICAL,HISTORICAL,12.0,70.0,Top-3 ranked PCMs per cluster under historical K=4 MCDM run,NO,"Historical pre-audit artifact; RT44HC #1, RT45HC #2, C22H46 #3"
PCM,Phase 8,Monte Carlo Stability Summary,data/processed/pcm/monte_carlo_stability_assam.csv,08b_monte_carlo_stability_final.py,Final (K=3),ACTIVE,FINAL,3.0,8.0,Governance record documenting that Monte Carlo stability was skipped,YES,Status: SKIPPED (n_draws=0) because no formal K=3 MCDM ranking exists
Physics,Phase 4,SWH Design Specification,data/processed/design/swh_design_specification.csv,05b_swh_design_specification.py,Final (K=3),ACTIVE,FINAL,13.0,3.0,"Engineering design constants (Mw=100kg, Mp=50kg, Tdel=50C, Tm=44C, 100L/day)",YES,Defines thermal storage and collector specifications for Assam SWH systems
Physics,Phase 9,Physics Validation Results,data/processed/pcm/physics_validation_assam.csv,10_physics_validation.py,Final (K=3),ACTIVE,FINAL,24.0,28.0,10-year sub-hourly physics simulation across 8 PCMs x 3 K=3 medoids,YES,"24 runs; First-Law error 0.0000%, SSRD error 0.0000%, dt=300s vs 150s verified"
Comparison,Phase 10,MCDM vs Physics Comparison,data/processed/pcm/mcdm_vs_physics_comparison.csv,10_validation_comparison.py,Final (K=3 vs K=4),ACTIVE,FINAL,24.0,16.0,Dual-level comparison evaluating historical MCDM ranking against physics,YES,Verdict: NOT PHYSICALLY SUPPORTED (rho = -0.52 to -0.64; 0% Top-1 agreement)
Visual,Phase 3,GMM BIC Curve vs K,data/processed/clustering/gmm_bic.png,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,1.0,1.0,Shows minimum BIC at K=3 (1574.94) justifying 3 climate regimes,YES,Publication-quality 300 DPI plot
Visual,Phase 3,GMM Silhouette Score vs K,data/processed/clustering/gmm_silhouette.png,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,1.0,1.0,Shows silhouette peak across cluster counts K=2..10,YES,Publication-quality 300 DPI plot
Visual,Phase 3,GMM Davies-Bouldin Index vs K,data/processed/clustering/gmm_davies_bouldin.png,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,1.0,1.0,Shows cluster separation index for full-covariance GMM,YES,Publication-quality 300 DPI plot
Visual,Phase 3,GMM Calinski-Harabasz vs K,data/processed/clustering/gmm_calinski_harabasz.png,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,1.0,1.0,Variance ratio criterion curve supporting K=3 cluster selection,YES,Publication-quality 300 DPI plot
Visual,Phase 10,MCDM vs Delivery Rank Scatter,phase10_visualizations/01_mcdm_vs_delivery_rank.png,10_validation_comparison.py,Final (K=3 vs K=4),ACTIVE,FINAL,1.0,1.0,Demonstrates inverse ordering between historical MCDM rank and physics delivery rank,YES,Highlights savE OM48 (#8 MCDM -> #1 Physics Delivery)
Visual,Phase 10,MCDM vs Solar Fraction Rank Scatter,phase10_visualizations/02_mcdm_vs_solar_fraction_rank.png,10_validation_comparison.py,Final (K=3 vs K=4),ACTIVE,FINAL,1.0,1.0,Demonstrates inverse ordering between MCDM rank and physics annual solar fraction,YES,Highlights RT44HC (#1 MCDM -> #8 Solar Fraction)
Visual,Phase 10,MCDM vs Cycling Durability Scatter,phase10_visualizations/03_mcdm_vs_cycling_rank.png,10_validation_comparison.py,Final (K=3 vs K=4),ACTIVE,FINAL,1.0,1.0,Shows near-zero correlation between MCDM ranking and PCM cycling degradation rate,YES,Spearman rho ~ +0.14; MCDM criteria do not predict dynamic cycling frequency
Visual,Phase 10,Thermodynamic Mechanism (Tm vs Delivery),phase10_visualizations/04_tm_vs_physics_delivery.png,10_validation_comparison.py,Final (K=3 vs K=4),ACTIVE,FINAL,1.0,1.0,Shows delivery success jumping 5x for PCMs melting at >=50C vs 44C target,YES,Reveals why MCDM Gaussian target at 44C fails to capture 50C delivery utility
Visual,Phase 3,Assam Climate Regime Map (Final K=3),final_outputs/visuals/fig09_final_k3_climate_regime_map.png,05_cluster_assam.py (not implemented in script),Final (K=3),ACTIVE,FINAL,,,Geographic scatter map of 129 grid points colored by final K=3 GMM cluster,YES,Generated from 129 population grid points & final K=3 cluster assignments; includes interactive HTML
Visual,Phase 3,PCA 2D Projection (Final 5-Feature K=3),final_outputs/visuals/fig10_final_k3_pca_projection.png,05_cluster_assam.py (not implemented in script),Final (K=3),ACTIVE,FINAL,,,PCA projection of 129 points colored by final K=3 cluster,YES,"Generated from 5 final standardized GMM features across 129 points (PC1=38.0%, PC2=25.5%)"
